target,scenario,run,wall_seconds,disk_added_kb,rss_added_kb,ok
easynginx,01-install,1,22.545,154800,0,1
easynginx,02-create-site,1,0.237,108,0,1
easynginx,03-audit,1,0.098,0,0,1
easynginx,04-backup,1,0.098,0,0,1
easynginx,05-resources,1,0,452,0,1
easynginx,01-install,2,23.492,154796,0,1
easynginx,02-create-site,2,0.236,108,0,1
easynginx,03-audit,2,0.089,0,0,1
easynginx,04-backup,2,0.095,0,0,1
easynginx,05-resources,2,0,452,0,1
easynginx,01-install,3,23.521,154796,0,1
easynginx,02-create-site,3,0.251,108,0,1
easynginx,03-audit,3,0.089,0,0,1
easynginx,04-backup,3,0.094,0,0,1
easynginx,05-resources,3,0,452,0,1
easyengine,01-install,1,64.053,687156,0,0
easyengine,02-create-site,1,0.007,4,0,0
easyengine,03-audit,1,0,0,0,n/a
easyengine,04-backup,1,0,0,0,n/a
easyengine,05-resources,1,0,7920,0,1
easyengine,01-install,2,66.796,687156,0,0
easyengine,02-create-site,2,0.007,4,0,0
easyengine,03-audit,2,0,0,0,n/a
easyengine,04-backup,2,0,0,0,n/a
easyengine,05-resources,2,0,7920,0,1
easyengine,01-install,3,64.000,687156,0,0
easyengine,02-create-site,3,0.008,4,0,0
easyengine,03-audit,3,0,0,0,n/a
easyengine,04-backup,3,0,0,0,n/a
easyengine,05-resources,3,0,7920,0,1
webinoly,01-install,1,1.531,12,0,0
webinoly,02-create-site,1,0.011,4,0,0
webinoly,03-audit,1,0.006,0,0,0
webinoly,04-backup,1,0.008,0,0,0
webinoly,05-resources,1,0,0,0,1
webinoly,01-install,2,0.789,12,0,0
webinoly,02-create-site,2,0.009,4,0,0
webinoly,03-audit,2,0.006,0,0,0
webinoly,04-backup,2,0.008,0,0,0
webinoly,05-resources,2,0,0,0,1
webinoly,01-install,3,0.872,12,0,0
webinoly,02-create-site,3,0.009,4,0,0
webinoly,03-audit,3,0.005,0,0,0
webinoly,04-backup,3,0.006,0,0,0
webinoly,05-resources,3,0,0,0,1
